Loading handle mappings...
  CMOTamilnadu: 9504 IDs
  mkstalin: 4663 IDs
  TRBRajaa: 20441 IDs

Processing batches 5 to 692 (688 batches)

Batch 92 (50 tweets)... 48 fetched, 184 404s, 1 errors

Batch 93 (50 tweets)... 45 fetched, 189 404s, 1 errors

Batch 94 (50 tweets)... 47 fetched, 192 404s, 1 errors
  [Saved progress: 4307 tweets]

Batch 95 (50 tweets)... 47 fetched, 194 404s, 2 errors

Batch 96 (50 tweets)... 46 fetched, 198 404s, 2 errors

Batch 97 (50 tweets)... 47 fetched, 201 404s, 2 errors

Batch 98 (50 tweets)... 49 fetched, 202 404s, 2 errors

Batch 99 (50 tweets)... 47 fetched, 205 404s, 2 errors

Batch 100 (50 tweets)... 48 fetched, 207 404s, 2 errors

Batch 101 (50 tweets)... 46 fetched, 211 404s, 2 errors

Batch 102 (50 tweets)... 47 fetched, 214 404s, 2 errors

Batch 103 (50 tweets)... 49 fetched, 215 404s, 2 errors

Batch 104 (50 tweets)... 49 fetched, 216 404s, 2 errors
  [Saved progress: 4782 tweets]

Batch 105 (50 tweets)... 46 fetched, 219 404s, 3 errors

Batch 106 (50 tweets)... 50 fetched, 219 404s, 3 errors

Batch 107 (50 tweets)... 48 fetched, 221 404s, 3 errors

Batch 108 (50 tweets)... 48 fetched, 222 404s, 4 errors

Batch 109 (50 tweets)... 50 fetched, 222 404s, 4 errors

Batch 110 (50 tweets)... 49 fetched, 222 404s, 5 errors

Batch 111 (50 tweets)... 41 fetched, 231 404s, 5 errors

Batch 112 (50 tweets)... 50 fetched, 231 404s, 5 errors

Batch 113 (50 tweets)... 47 fetched, 234 404s, 5 errors

Batch 114 (50 tweets)... 46 fetched, 238 404s, 5 errors
  [Saved progress: 5257 tweets]

Batch 115 (50 tweets)... 49 fetched, 239 404s, 5 errors

Batch 116 (50 tweets)... 47 fetched, 242 404s, 5 errors

Batch 117 (50 tweets)... 46 fetched, 246 404s, 5 errors

Batch 118 (50 tweets)... 47 fetched, 249 404s, 5 errors

Batch 119 (50 tweets)... 50 fetched, 249 404s, 5 errors

Batch 120 (50 tweets)... 46 fetched, 253 404s, 5 errors

Batch 121 (50 tweets)... 45 fetched, 258 404s, 5 errors

Batch 122 (50 tweets)... 47 fetched, 261 404s, 5 errors

Batch 123 (50 tweets)... 45 fetched, 266 404s, 5 errors

Batch 124 (50 tweets)... 50 fetched, 266 404s, 5 errors
  [Saved progress: 5729 tweets]

Batch 125 (50 tweets)... 48 fetched, 268 404s, 5 errors

Batch 126 (50 tweets)... 50 fetched, 268 404s, 5 errors

Batch 127 (50 tweets)... 49 fetched, 269 404s, 5 errors

Batch 128 (50 tweets)... 48 fetched, 270 404s, 6 errors

Batch 129 (50 tweets)... 50 fetched, 270 404s, 6 errors

Batch 130 (50 tweets)... 50 fetched, 270 404s, 6 errors

Batch 131 (50 tweets)... 50 fetched, 270 404s, 6 errors

Batch 132 (50 tweets)... 45 fetched, 275 404s, 6 errors

Batch 133 (50 tweets)... 47 fetched, 278 404s, 6 errors

Batch 134 (50 tweets)... 47 fetched, 281 404s, 6 errors
  [Saved progress: 6213 tweets]

Batch 135 (50 tweets)... 50 fetched, 281 404s, 6 errors

Batch 136 (50 tweets)... 46 fetched, 285 404s, 6 errors

Batch 137 (50 tweets)... 47 fetched, 288 404s, 6 errors

Batch 138 (50 tweets)... 49 fetched, 289 404s, 6 errors

Batch 139 (50 tweets)... 50 fetched, 289 404s, 6 errors

Batch 140 (50 tweets)... 47 fetched, 292 404s, 6 errors

Batch 141 (50 tweets)... 49 fetched, 293 404s, 6 errors

Batch 142 (50 tweets)... 49 fetched, 294 404s, 6 errors

Batch 143 (50 tweets)... 48 fetched, 296 404s, 6 errors

Batch 144 (50 tweets)... 49 fetched, 297 404s, 6 errors
  [Saved progress: 6697 tweets]

Batch 145 (50 tweets)... 47 fetched, 300 404s, 6 errors

Batch 146 (50 tweets)... 46 fetched, 303 404s, 7 errors

Batch 147 (50 tweets)... 49 fetched, 304 404s, 7 errors

Batch 148 (50 tweets)... 47 fetched, 307 404s, 7 errors

Batch 149 (50 tweets)... 47 fetched, 310 404s, 7 errors

Batch 150 (50 tweets)... 48 fetched, 311 404s, 8 errors

Batch 151 (50 tweets)... 50 fetched, 311 404s, 8 errors

Batch 152 (50 tweets)... 47 fetched, 314 404s, 8 errors

Batch 153 (50 tweets)... 48 fetched, 316 404s, 8 errors

Batch 154 (50 tweets)... 48 fetched, 318 404s, 8 errors
  [Saved progress: 7174 tweets]

Batch 155 (50 tweets)... 48 fetched, 320 404s, 8 errors

Batch 156 (50 tweets)... 50 fetched, 320 404s, 8 errors

Batch 157 (50 tweets)... 48 fetched, 322 404s, 8 errors

Batch 158 (50 tweets)... 47 fetched, 325 404s, 8 errors

Batch 159 (50 tweets)... 49 fetched, 326 404s, 8 errors

Batch 160 (50 tweets)... 49 fetched, 327 404s, 8 errors

Batch 161 (50 tweets)... 47 fetched, 330 404s, 8 errors

Batch 162 (50 tweets)... 46 fetched, 334 404s, 8 errors

Batch 163 (50 tweets)... 50 fetched, 334 404s, 8 errors

Batch 164 (50 tweets)... 45 fetched, 339 404s, 8 errors
  [Saved progress: 7653 tweets]

Batch 165 (50 tweets)... 50 fetched, 339 404s, 8 errors

Batch 166 (50 tweets)... 48 fetched, 340 404s, 9 errors

Batch 167 (50 tweets)... 49 fetched, 341 404s, 9 errors

Batch 168 (50 tweets)... 47 fetched, 344 404s, 9 errors

Batch 169 (50 tweets)... 45 fetched, 349 404s, 9 errors

Batch 170 (50 tweets)... 46 fetched, 353 404s, 9 errors

Batch 171 (50 tweets)... 48 fetched, 355 404s, 9 errors

Batch 172 (50 tweets)... 47 fetched, 358 404s, 9 errors

Batch 173 (50 tweets)... 48 fetched, 360 404s, 9 errors

Batch 174 (50 tweets)... 50 fetched, 360 404s, 9 errors
  [Saved progress: 8131 tweets]

Batch 175 (50 tweets)... 48 fetched, 362 404s, 9 errors

Batch 176 (50 tweets)... 48 fetched, 364 404s, 9 errors

Batch 177 (50 tweets)... 49 fetched, 365 404s, 9 errors

Batch 178 (50 tweets)... 48 fetched, 367 404s, 9 errors

Batch 179 (50 tweets)... 50 fetched, 367 404s, 9 errors

Batch 180 (50 tweets)... 47 fetched, 370 404s, 9 errors

Batch 181 (50 tweets)... 45 fetched, 375 404s, 9 errors

Batch 182 (50 tweets)... 47 fetched, 378 404s, 9 errors

Batch 183 (50 tweets)... 47 fetched, 380 404s, 10 errors

Batch 184 (50 tweets)... 47 fetched, 383 404s, 10 errors
  [Saved progress: 8607 tweets]

Batch 185 (50 tweets)... 49 fetched, 384 404s, 10 errors

Batch 186 (50 tweets)... 46 fetched, 388 404s, 10 errors

Batch 187 (50 tweets)... 49 fetched, 389 404s, 10 errors

Batch 188 (50 tweets)... 47 fetched, 392 404s, 10 errors

Batch 189 (50 tweets)... 48 fetched, 394 404s, 10 errors

Batch 190 (50 tweets)... 47 fetched, 397 404s, 10 errors

Batch 191 (50 tweets)... 47 fetched, 400 404s, 10 errors

Batch 192 (50 tweets)... 47 fetched, 403 404s, 10 errors

Batch 193 (50 tweets)... 46 fetched, 407 404s, 10 errors

Batch 194 (50 tweets)... 42 fetched, 415 404s, 10 errors
  [Saved progress: 9075 tweets]

Batch 195 (50 tweets)... 49 fetched, 416 404s, 10 errors

Batch 196 (50 tweets)... 50 fetched, 416 404s, 10 errors

Batch 197 (50 tweets)... 47 fetched, 419 404s, 10 errors

Batch 198 (50 tweets)... 50 fetched, 419 404s, 10 errors

Batch 199 (50 tweets)... 48 fetched, 421 404s, 10 errors

Batch 200 (50 tweets)... 49 fetched, 422 404s, 10 errors

Batch 201 (50 tweets)... 47 fetched, 425 404s, 10 errors

Batch 202 (50 tweets)... 49 fetched, 426 404s, 10 errors

Batch 203 (50 tweets)... 48 fetched, 428 404s, 10 errors

Batch 204 (50 tweets)... 50 fetched, 428 404s, 10 errors
  [Saved progress: 9562 tweets]

Batch 205 (50 tweets)... 49 fetched, 428 404s, 11 errors

Batch 206 (50 tweets)... 50 fetched, 428 404s, 11 errors

Batch 207 (50 tweets)... 48 fetched, 430 404s, 11 errors

Batch 208 (50 tweets)... 47 fetched, 433 404s, 11 errors

Batch 209 (50 tweets)... 48 fetched, 435 404s, 11 errors

Batch 210 (50 tweets)... 45 fetched, 440 404s, 11 errors

Batch 211 (50 tweets)... 50 fetched, 440 404s, 11 errors

Batch 212 (50 tweets)... 48 fetched, 442 404s, 11 errors

Batch 213 (50 tweets)... 45 fetched, 447 404s, 11 errors

Batch 214 (50 tweets)... 45 fetched, 452 404s, 11 errors
  [Saved progress: 10037 tweets]

Batch 215 (50 tweets)... 46 fetched, 456 404s, 11 errors

Batch 216 (50 tweets)... 46 fetched, 460 404s, 11 errors

Batch 217 (50 tweets)... 43 fetched, 466 404s, 12 errors

Batch 218 (50 tweets)... 47 fetched, 469 404s, 12 errors

Batch 219 (50 tweets)... 45 fetched, 474 404s, 12 errors

Batch 220 (50 tweets)... 49 fetched, 475 404s, 12 errors

Batch 221 (50 tweets)... 46 fetched, 479 404s, 12 errors

Batch 222 (50 tweets)... 46 fetched, 483 404s, 12 errors

Batch 223 (50 tweets)... 49 fetched, 484 404s, 12 errors

Batch 224 (50 tweets)... 47 fetched, 487 404s, 12 errors
  [Saved progress: 10501 tweets]

Batch 225 (50 tweets)... 49 fetched, 488 404s, 12 errors

Batch 226 (50 tweets)... 49 fetched, 489 404s, 12 errors

Batch 227 (50 tweets)... 45 fetched, 493 404s, 13 errors

Batch 228 (50 tweets)... 50 fetched, 493 404s, 13 errors

Batch 229 (50 tweets)... 44 fetched, 499 404s, 13 errors

Batch 230 (50 tweets)... 49 fetched, 500 404s, 13 errors

Batch 231 (50 tweets)... 49 fetched, 501 404s, 13 errors

Batch 232 (50 tweets)... 45 fetched, 506 404s, 13 errors

Batch 233 (50 tweets)... 49 fetched, 507 404s, 13 errors

Batch 234 (50 tweets)... 48 fetched, 509 404s, 13 errors
  [Saved progress: 10978 tweets]

Batch 235 (50 tweets)... 50 fetched, 509 404s, 13 errors

Batch 236 (50 tweets)... 44 fetched, 515 404s, 13 errors

Batch 237 (50 tweets)... 50 fetched, 515 404s, 13 errors

Batch 238 (50 tweets)... 50 fetched, 515 404s, 13 errors

Batch 239 (50 tweets)... 45 fetched, 520 404s, 13 errors

Batch 240 (50 tweets)... 49 fetched, 521 404s, 13 errors

Batch 241 (50 tweets)... 50 fetched, 521 404s, 13 errors

Batch 242 (50 tweets)... 48 fetched, 523 404s, 13 errors

Batch 243 (50 tweets)... 48 fetched, 525 404s, 13 errors

Batch 244 (50 tweets)... 50 fetched, 525 404s, 13 errors
  [Saved progress: 11462 tweets]

Batch 245 (50 tweets)... 48 fetched, 526 404s, 14 errors

Batch 246 (50 tweets)... 50 fetched, 526 404s, 14 errors

Batch 247 (50 tweets)... 47 fetched, 529 404s, 14 errors

Batch 248 (50 tweets)... 50 fetched, 529 404s, 14 errors

Batch 249 (50 tweets)... 50 fetched, 529 404s, 14 errors

Batch 250 (50 tweets)... 49 fetched, 530 404s, 14 errors

Batch 251 (50 tweets)... 46 fetched, 534 404s, 14 errors

Batch 252 (50 tweets)... 50 fetched, 534 404s, 14 errors

Batch 253 (50 tweets)... 49 fetched, 535 404s, 14 errors

Batch 254 (50 tweets)... 49 fetched, 536 404s, 14 errors
